-0.8550674535146854,-1.4490366113139688	-0.545701746644732,-1.4023479957578515	-0.5923903622008493,-1.0929822888878982	-0.9017560690708026,-1.1396709044440154	
0.11754358642770124,-0.5334323651850075	-0.19225604080872327,-0.5771491625730282	-0.14853924342070263,-0.8869487898094526	0.16126038381572189,-0.843231992421432	
-0.3911221054833617,-1.2218322493421865	-0.40146727957968864,-1.3779242710003734	-0.24537525792150156,-1.3882694450967001	-0.23503008382517476,-1.2321774234385134	
0.355370772125714,-0.5392383881309746	0.4856794838447742,-0.4526856209739272	0.39912671668772687,-0.32237690925486695	0.26881800496866665,-0.40892967641191436	
-0.8814131668883826,-0.8477103993183213	-0.7250723213655511,-0.8422991264893691	-0.7304835941945033,-0.6859582809665377	-0.8868244397173347,-0.6913695537954898	
0.23089805446313494,-0.1083818772602343	0.07644418576470113,-0.13319607272392348	0.1012583812283902,-0.2876499414223572	0.2557122499268242,-0.2628357459586681	
0.6662081719032042,-1.118212159300775	0.5110948223099568,-1.1384998558281343	0.5313825188373162,-1.2936132054213818	0.6864958684305638,-1.2733255088940223	
-0.5040707224203147,-1.1595931950891676	-0.19204751093392192,-1.1366044390677859	-0.2150362669553037,-0.8245812275813931	-0.5270594784416965,-0.8475699836027748	
-0.4286061775544999,-1.467858218738705	-0.584249174709381,-1.4521420077109513	-0.5999653857371346,-1.6077850048658324	-0.44432238858225365,-1.6235012158935862	
0.7025588686165352,-0.8435041024078254	0.5548882072069586,-0.7918793253014648	0.503263430100598,-0.9395499867110412	0.6509340915101746,-0.9911747638174019	
0.43084683370666665,-1.514198737018035	0.41759539118532024,-1.3583265421803197	0.261723196347605,-1.3715779847016663	0.27497463886895146,-1.5274501795393813	
0.4354302797678813,-1.1912784965990033	0.3271308722281515,-1.0783936872623758	0.2142460628915241,-1.1866930948021057	0.32254547043125387,-1.299577904138733	
0.2999942443078094,-1.7336515664491712	0.1700240610859536,-1.6465912808667058	0.08296377550348819,-1.7765614640885616	0.21293395872534393,-1.863621749671027	
-0.267516412666835,-1.4717046276390602	-0.4021246697344799,-1.5514063150843962	-0.3224229822891438,-1.6860145721520412	-0.18781472522149895,-1.606312884706705	
0.36719017365535445,-0.8222471922845853	0.521415881804751,-0.7960522920511359	0.4952209815713016,-0.6418265839017394	0.3409952734219051,-0.6680214841351888	
-0.8134812610498456,-0.6468849103307273	-0.6652204397104107,-0.5969802942298158	-0.715125055811322,-0.44871947289038083	-0.863385877150757,-0.4986240889912923	
-0.42107332043510426,-0.32470879326034163	-0.3550680862075977,-0.18288125394940524	-0.4968956255185341,-0.1168760197218987	-0.5629008597460406,-0.2587035590328351	
-0.07380817253597272,-1.4337514020591797	0.19034992740267226,-1.2660985892390613	0.022697114582553746,-1.0019404893004162	-0.2414609853560912,-1.1695933021205347	
0.4760436217353612,-0.9060506891889697	0.34944912830145125,-0.8141508737123598	0.2575493128248414,-0.9407453671462697	0.3841438062587513,-1.0326451826228795	
-0.024313782725827515,-0.4367847150023365	0.1105705478900745,-0.516018288736728	0.18980412162446592,-0.38113395812082584	0.05491979100856387,-0.3019003843864345	
0.06814001589528496,-1.7484358505315551	0.1341452501227915,-1.6066083112206186	-0.007682289188144897,-1.5406030769931123	-0.07368752341565143,-1.6824306163040486	
-0.4843765996721848,-0.6426586974717929	-0.620733219159225,-0.5659865762379979	-0.6974053403930199,-0.702343195725038	-0.5610487209059798,-0.7790153169588331	
-0.6294703510059036,-0.19824595417733581	-0.772968465387778,-0.26053586524863	-0.7106785543164839,-0.4040339796305042	-0.5671804399346094,-0.34174406855921	
-1.0564870855791408,-0.9455030093116479	-0.9198173074763505,-0.869390503074123	-0.9959298137138753,-0.7327207249713327	-1.1325995918166656,-0.8088332312088575	
0.26323225299640574,-1.4728654027958352	0.23208713668427577,-1.3195626840256611	0.07878441791410165,-1.350707800337791	0.10992953422623158,-1.5040105191079651	
-0.190356129500465,-1.9495614151553808	-0.037371607194546436,-1.9168891365808292	-0.07004388576909813,-1.7639046142749106	-0.2230284080750167,-1.7965768928494623	
-0.9044961482374626,-1.0353672620712968	-1.0310906416713725,-0.943467446594687	-1.1229904571479823,-1.070061940028597	-0.9963959637140725,-1.1619617555052066	
-0.37286495813115317,-1.6726451737469477	-0.5235644529427117,-1.714614258987923	-0.4815953677017364,-1.8653137537994815	-0.33089587289017786,-1.8233446685585062	
0.5612048327499846,-0.6647508001987226	0.7019925016781242,-0.5965556821168265	0.6337973835962282,-0.45576801318868687	0.4930097146680885,-0.5239631312705829	
-0.07321912429022981,-0.43423923710909995	0.02502699889176914,-0.312504110164858	-0.09670812805247278,-0.21425798698285908	-0.19495425123447174,-0.335993113927101	
-0.5515822575476673,-0.7970984397506777	-0.7080009041455838,-0.7948738389102332	-0.7102255049860283,-0.9512924855081497	-0.5538068583881118,-0.9535170863485942	
0.1576095665032453,-0.9342779353208199	0.10191928637279568,-1.0804638941247189	0.24810524517669447,-1.1361541742551686	0.30379552530714427,-0.9899682154512696	
-0.34390112850214505,-0.5509808187410219	-0.39041344925039995,-0.40162103208130995	-0.5397732359101118,-0.44813335282956485	-0.493260915161857,-0.5974931394892768	
0.2148328111953124,-0.6598916074904373	0.3502175833118071,-0.581516194691601	0.27184217051297077,-0.4461314225751062	0.13645739839647608,-0.5245068353739426	
0.7042802769112682,-1.339529528676855	0.5545862690721344,-1.2941043608788099	0.5091611012740892,-1.4437983687179436	0.658855109113223,-1.4892235365159887
