-4.434195269261892,-2.3203708773898413	-3.7270884880753443,-2.3203708773898413	-3.7270884880753443,-1.6132640962032938	-4.434195269261892,-1.6132640962032938	
-14.705735156907943,-2.8763698242304496	-13.705735156907943,-2.8763698242304496	-13.705735156907943,-1.8763698242304496	-14.705735156907943,-1.8763698242304496	
-6.064674599201776,-2.152163552892694	-5.064674599201776,-2.152163552892694	-5.064674599201776,-1.1521635528926941	-6.064674599201776,-1.1521635528926941	
0.5597421358799153,2.399458684202939	0.6777761246298102,2.399458684202939	0.6777761246298102,2.5174926729528337	0.5597421358799153,2.5174926729528337	
-12.380273586902263,-2.8250698045121716	-11.262239598152366,-2.8250698045121716	-11.262239598152366,-1.7070358157622756	-12.380273586902263,-1.7070358157622756	
-1.1980556578557486,-6.7186858330160835	-0.19805565785574863,-6.7186858330160835	-0.19805565785574863,-5.7186858330160835	-1.1980556578557486,-5.7186858330160835	
-8.792315402445492,-2.533759376591375	-7.792315402445492,-2.533759376591375	-7.792315402445492,-1.5337593765913748	-8.792315402445492,-1.5337593765913748	
-7.19811776989124,-2.3509330705280824	-6.4910109887046925,-2.3509330705280824	-6.4910109887046925,-1.643826289341535	-7.19811776989124,-1.643826289341535	
-9.770066773654746,-1.3987795799133602	-9.270066773654746,-1.3987795799133602	-9.270066773654746,-0.8987795799133607	-9.770066773654746,-0.8987795799133607	
-1.2093877256100551,-5.423166140202625	-0.5022809444235081,-5.423166140202625	-0.5022809444235081,-4.716059359016078	-1.2093877256100551,-4.716059359016078	
-2.791830511060981,-2.623995197681637	-2.084723729874433,-2.623995197681637	-2.084723729874433,-1.9168884164950892	-2.791830511060981,-1.9168884164950892	
1.3974701183284743,3.6202715515414763	1.897470118328474,3.6202715515414763	1.897470118328474,4.120271551541476	1.3974701183284743,4.120271551541476	
-4.47361812599968,-6.743956373372714	-3.7665113448131313,-6.743956373372714	-3.7665113448131313,-6.036849592186165	-4.47361812599968,-6.036849592186165	
-1.034213605298655,-2.2479696991691984	-0.327106824112107,-2.2479696991691984	-0.327106824112107,-1.5408629179826505	-1.034213605298655,-1.5408629179826505	
3.6604235348705316,0.13438826126105852	4.160423534870531,0.13438826126105852	4.160423534870531,0.6343882612610577	3.6604235348705316,0.6343882612610577	
-1.950057905283602,-4.821209933860544	-1.2429511240970532,-4.821209933860544	-1.2429511240970532,-4.114103152673995	-1.950057905283602,-4.114103152673995	
1.82768200960113,0.981314704853026	2.534788790787678,0.981314704853026	2.534788790787678,1.6884214860395736	1.82768200960113,1.6884214860395736	
-1.6250102964020492,-2.2813206432957855	-1.1250102964020499,-2.2813206432957855	-1.1250102964020499,-1.7813206432957862	-1.6250102964020492,-1.7813206432957862	
-2.337386700623103,-5.77058674453664	-1.6302799194365545,-5.77058674453664	-1.6302799194365545,-5.063479963350091	-2.337386700623103,-5.063479963350091	
-10.806821375985717,-2.5935540055853394	-10.099714594799169,-2.5935540055853394	-10.099714594799169,-1.8864472243987918	-10.806821375985717,-1.8864472243987918	
-1.0452581913517225,-1.1906962297597774	-0.5452581913517232,-1.1906962297597774	-0.5452581913517232,-0.6906962297597781	-1.0452581913517225,-0.6906962297597781	
-9.807896868711246,-2.852567251767522	-9.1007900875247,-2.852567251767522	-9.1007900875247,-2.145460470580975	-9.807896868711246,-2.145460470580975	
-0.3619669406590553,-5.052465750166967	0.34513984052749347,-5.052465750166967	0.34513984052749347,-4.345358968980419	-0.3619669406590553,-4.345358968980419	
-13.247393687214041,-1.8961252153327175	-12.747393687214041,-1.8961252153327175	-12.747393687214041,-1.3961252153327182	-13.247393687214041,-1.3961252153327182	
-2.7808655208509574,-6.7237492250420825	-2.0737587396644104,-6.7237492250420825	-2.0737587396644104,-6.0166424438555355	-2.7808655208509574,-6.0166424438555355	
-0.11851283698455362,-2.1152083357026026	-4.788482346583661E-4,-2.1152083357026026	-4.788482346583661E-4,-1.9971743469527072	-0.11851283698455362,-1.9971743469527072	
-4.234348385319926,8.970070698220862	-4.116314396570031,8.970070698220862	-4.116314396570031,9.088104686970757	-4.234348385319926,9.088104686970757	
-14.490679826711261,-1.8704078097927068	-13.783573045524713,-1.8704078097927068	-13.783573045524713,-1.1633010286061594	-14.490679826711261,-1.1633010286061594	
-13.767642213714712,-1.3914853071292042	-13.267642213714712,-1.3914853071292042	-13.267642213714712,-0.8914853071292042	-13.767642213714712,-0.8914853071292042	
-6.179366194369104,-2.873352949617229	-5.472259413182556,-2.873352949617229	-5.472259413182556,-2.1662461684306815	-6.179366194369104,-2.1662461684306815	
-1.9125341102700766,-6.643255098852487	-1.2054273290835291,-6.643255098852487	-1.2054273290835291,-5.936148317665939	-1.9125341102700766,-5.936148317665939	
4.374800632449109,-0.07731960367376889	4.874800632449109,-0.07731960367376889	4.874800632449109,0.4226803963262311	4.374800632449109,0.4226803963262311	
-3.6523361139397448,-6.990060754883997	-2.9452293327531973,-6.990060754883997	-2.9452293327531973,-6.282953973697449	-3.6523361139397448,-6.282953973697449	
-3.552129732449096,-2.498347221094206	-2.8450229512625484,-2.498347221094206	-2.8450229512625484,-1.7912404399076585	-3.552129732449096,-1.7912404399076585	
-1.498247813458633,-2.9057327744587367	-0.998247813458633,-2.9057327744587367	-0.998247813458633,-2.4057327744587367	-1.498247813458633,-2.4057327744587367	
1.4728022468939095,4.43304909382797	2.179909028080457,4.43304909382797	2.179909028080457,5.140155875014518	1.4728022468939095,5.140155875014518	
-13.583972431451576,-2.9100407704116575	-12.583972431451576,-2.9100407704116575	-12.583972431451576,-1.9100407704116575	-13.583972431451576,-1.9100407704116575	
-4.636325578766995,-1.6613582973590004	-4.5182915900171,-1.6613582973590004	-4.5182915900171,-1.5433243086091055	-4.636325578766995,-1.5433243086091055	
-5.256401970564763,-6.720977677391268	-4.549295189378215,-6.720977677391268	-4.549295189378215,-6.01387089620472	-5.256401970564763,-6.01387089620472	
