4.640067323168101,4.94372941171803	3.679859068937681,4.6644444165826515	3.9591440640730586,3.704236162352231	4.9193523183034795,3.9835211574876093	
2.481035302076756,1.6801746506508195	1.6464649087799308,1.1292733358653284	2.197366223565422,0.29470294256850327	3.031936616862247,0.8456042573539945	
5.377804771866848,7.274136131107538	6.365048025364461,7.4333553461019894	6.205828810370009,8.420598599599602	5.218585556872396,8.26137938460515	
-1.2503241887940764,2.546639848921572	-0.32963247765482784,2.156349222542354	0.06065814872439046,3.0770409336816025	-0.8600335624148581,3.4673315600608206	
-1.612020157957586,2.3793905402260087	-2.353359397296191,1.708260052007169	-1.682228909077352,0.9669208126685638	-0.9408896697387458,1.6380513008874038	
4.647276821266655,6.50475048713813	4.149560389214597,5.637410672956071	5.016900203396654,5.139694240904012	5.514616635448714,6.007034055086072	
6.463920709025445,8.858022050571577	7.445366062076905,8.666279986919138	7.637108125729344,9.647725339970599	6.655662772677885,9.839467403623036	
3.71044269713813,3.5504148181087274	3.2673472376741604,2.653940382442872	4.163821673340015,2.2108449229789024	4.606917132803985,3.107319358644758	
3.050475530568952,1.1594738454613633	3.9052762632527767,1.6784302091406191	3.386319899573521,2.5332309418244443	2.531519166889696,2.014274578145188	
-0.243017961503031,2.249222153505908	-0.35644593203926206,1.2556759313803183	0.6371002900863278,1.1422479608440872	0.7505282606225588,2.135794182969677	
4.822174720188973,0.003958988956232368	4.06831276781982,-0.653073854035782	4.725345610811835,-1.406935806404935	5.479207563180987,-0.749902963412921	
-5.103510247235146,1.4084293907960426	-4.32031458514949,0.7866540657064963	-3.6985392600599436,1.5698497277921521	-4.4817349221456,2.1916250528816983	
3.144685132426164,0.8840910782915561	2.3357046116197706,0.29625562771391645	2.9235400621974104,-0.512724893092477	3.7325205830038035,0.07511055748516271	
2.330396958279242,-4.611258268957682	2.2868801957635982,-5.359994732194352	3.035616659000268,-5.403511494709996	3.079133421515912,-4.654775031473326	
0.8947414887952112,4.3911352040070994	0.47794764870838186,5.01465977839505	-0.14557692567956826,4.59786593830822	0.2712169144072609,3.9743413639202703	
-0.8876159986241854,0.6250485627732338	-0.21860772495142988,0.9640587835002784	-0.5576179456784744,1.6330670571730337	-1.2266262193512298,1.2940568364459892	
4.355436804130391,6.713736604577038	5.218229738785741,6.208179138101852	5.723787205260926,7.070972072757203	4.860994270605576,7.576529539232388	
-2.4862831432362054,-1.879758813788536	-3.3506007033132565,-2.3827052874241037	-2.847654229677689,-3.247022847501155	-1.9833366696006378,-2.744076373865587	
4.104481321222473,-3.8784658177349307	4.021566367013825,-2.881909190960226	3.02500974023912,-2.964824145168875	3.1079246944477688,-3.9613807719435794	
-4.106620641194347,2.9341723840614087	-3.637358789238916,2.3491139986849072	-3.0523004038624144,2.8183758506403382	-3.5215622558178454,3.40343423601684	
-1.3469531294436576,-1.4508466964016105	-1.1919693293059441,-0.7170347166037379	-1.9257813091038167,-0.5620509164660246	-2.08076510924153,-1.295862896263897	
-4.301968627851183,0.08879530523732893	-4.630213234158062,0.7631509075944546	-5.3045688365151875,0.43490630128757507	-4.976324230208308,-0.23944930106955054	
-2.2616280109727205,-1.0249740228721471	-1.8241679383961906,-0.4157707030343961	-2.4333712582339415,0.02168936954213363	-2.8708313308104714,-0.587513950295617	
-0.22349510028645803,5.516461733352347	-0.9130646432180163,5.811408924322463	-1.2080118341881318,5.121839381390904	-0.5184422912565736,4.826892190420789	
-5.764886077275041,1.830543556399558	-5.149882817369997,1.4012755861220532	-4.7206148470924925,2.016278846027098	-5.335618106997536,2.4455468163046024	
-1.561326053765983,-3.6418856721539927	-1.0404312422911741,-3.1022852687269538	-1.580031645718213,-2.581390457252145	-2.100926457193022,-3.120990860679184	
5.182806897681599,1.2225905957345464	5.850990301140875,0.8819574509268557	6.191623445948566,1.5501408543861326	5.523440042489289,1.8907739991938233	
6.340130571869628,8.497936130262307	6.289833827131696,9.246247721425217	5.5415222359687855,9.195950976687286	5.591818980706718,8.447639385524374	
5.493118026505377,-3.7351078591584512	4.756612729118259,-3.593474717130494	4.614979587090302,-4.329980014517613	5.35148488447742,-4.47161315654557	
4.907383107912707,0.9260594435265386	4.7133840317489,0.20158421382742064	5.437859261448018,0.00758513766361435	5.631858337611824,0.7320603673627323	
0.6902024725276403,6.039375346805077	0.5968386197039904,5.295209242372791	1.341004724136277,5.201845389549142	1.4343685769599261,5.946011493981427	
-4.457072960115615,4.200074378257149	-4.798871325098316,3.5324862734386526	-4.131283220279819,3.190687908455951	-3.7894848552971183,3.8582760132744474
