-64.21808279494738,53.91157670065774	-54.21808279494738,53.91157670065774	-54.21808279494738,63.91157670065774	-64.21808279494738,63.91157670065774	
-86.57735805986087,122.05327632142117	-74.65301233041978,122.05327632142117	-74.65301233041978,133.97762205086227	-86.57735805986087,133.97762205086227	
-138.1695758053049,146.92977902774615	-126.98923591780596,146.92977902774615	-126.98923591780596,158.1101189152451	-138.1695758053049,158.1101189152451	
-139.88023520890536,112.17323931113344	-127.95588947946428,112.17323931113344	-127.95588947946428,124.09758504057453	-139.88023520890536,124.09758504057453	
-86.37638348637277,102.60002623578694	-74.45203775693169,102.60002623578694	-74.45203775693169,114.52437196522803	-86.37638348637277,114.52437196522803	
-122.28649377787528,126.5063871080236	-110.3621480484342,126.5063871080236	-110.3621480484342,138.4307328374647	-122.28649377787528,138.4307328374647	
-49.79326858416067,101.2958113060779	-37.868922854719585,101.2958113060779	-37.868922854719585,113.22015703551898	-49.79326858416067,113.22015703551898	
-73.15153047637664,123.06385031936432	-61.22718474693555,123.06385031936432	-61.22718474693555,134.9881960488054	-73.15153047637664,134.9881960488054	
-101.91938263007584,163.93795010510416	-89.99503690063476,163.93795010510416	-89.99503690063476,175.86229583454525	-101.91938263007584,175.86229583454525	
-107.4549253490569,61.053293614	-95.5305796196158,61.053293614	-95.5305796196158,72.97763934344108	-107.4549253490569,72.97763934344108	
-138.65523371973688,124.33461040447251	-126.7308879902958,124.33461040447251	-126.7308879902958,136.2589561339136	-138.65523371973688,136.2589561339136	
-70.65288121615893,110.0788771250672	-58.728535486717846,110.0788771250672	-58.728535486717846,122.00322285450828	-70.65288121615893,122.00322285450828	
-67.9980075010281,33.92521067520659	-56.07366177158701,33.92521067520659	-56.07366177158701,45.84955640464768	-67.9980075010281,45.84955640464768	
-108.13223877977558,124.9866108448501	-96.20789305033449,124.9866108448501	-96.20789305033449,136.9109565742912	-108.13223877977558,136.9109565742912	
-36.624648972723094,13.833981256815475	-25.624648972723094,13.833981256815475	-25.624648972723094,24.833981256815477	-36.624648972723094,24.833981256815477	
-138.8917685916221,8.211295132479984	-126.96742286218102,8.211295132479984	-126.96742286218102,20.135640861921072	-138.8917685916221,20.135640861921072	
-126.72956051927578,99.04500102530353	-115.54922063177683,99.04500102530353	-115.54922063177683,110.22534091280248	-126.72956051927578,110.22534091280248	
-112.81261383878578,151.6544071021636	-100.8882681093447,151.6544071021636	-100.8882681093447,163.57875283160467	-112.81261383878578,163.57875283160467	
-122.70328734567377,5.97428557027331	-110.77894161623269,5.97428557027331	-110.77894161623269,17.8986312997144	-122.70328734567377,17.8986312997144	
-110.84898700024632,110.55369991083863	-98.92464127080524,110.55369991083863	-98.92464127080524,122.47804564027972	-110.84898700024632,122.47804564027972	
-184.99214093303488,99.34575075542205	-173.0677952035938,99.34575075542205	-173.0677952035938,111.27009648486313	-184.99214093303488,111.27009648486313	
-30.690958224449304,79.35880750676836	-18.766612495008218,79.35880750676836	-18.766612495008218,91.28315323620944	-30.690958224449304,91.28315323620944	
-24.171018606143633,30.29299972901947	-19.171018606143633,30.29299972901947	-19.171018606143633,35.29299972901947	-24.171018606143633,35.29299972901947	
-64.3778367266901,2.06087007899837	-52.45349099724902,2.06087007899837	-52.45349099724902,13.985215808439458	-64.3778367266901,13.985215808439458	
-35.95389386049581,99.83083441194799	-24.029548131054725,99.83083441194799	-24.029548131054725,111.75518014138908	-35.95389386049581,111.75518014138908	
-96.46995455827462,100.09841392050282	-88.85418145241071,100.09841392050282	-88.85418145241071,107.71418702636673	-96.46995455827462,107.71418702636673	
-167.53617087096484,95.18153078972921	-157.53617087096484,95.18153078972921	-157.53617087096484,105.18153078972921	-167.53617087096484,105.18153078972921	
-83.84192828381447,12.926517193341425	-71.91758255437338,12.926517193341425	-71.91758255437338,24.85086292278251	-83.84192828381447,24.85086292278251	
-84.53453565834596,160.1511120902101	-72.61018992890487,160.1511120902101	-72.61018992890487,172.07545781965118	-84.53453565834596,172.07545781965118	
-147.0082850197109,72.41477287698791	-135.08393929026983,72.41477287698791	-135.08393929026983,84.339118606429	-147.0082850197109,84.339118606429	
-108.84645248862842,97.70029107076148	-96.92210675918733,97.70029107076148	-96.92210675918733,109.62463680020257	-108.84645248862842,109.62463680020257	
-143.2965992576843,90.56235855334026	-131.37225352824322,90.56235855334026	-131.37225352824322,102.48670428278135	-143.2965992576843,102.48670428278135	
-125.14885567257569,112.58825015077058	-113.2245099431346,112.58825015077058	-113.2245099431346,124.51259588021166	-125.14885567257569,124.51259588021166	
-50.58433077006069,11.944909032231983	-48.58433077006069,11.944909032231983	-48.58433077006069,13.944909032231983	-50.58433077006069,13.944909032231983	
-83.52186381853919,139.61341631718759	-71.5975180890981,139.61341631718759	-71.5975180890981,151.53776204662867	-83.52186381853919,151.53776204662867	
-87.88964934559121,165.0652660356038	-85.06122222084502,165.0652660356038	-85.06122222084502,167.89369316034998	-87.88964934559121,167.89369316034998	
-163.1350049177115,8.879400023359366	-151.21065918827043,8.879400023359366	-151.21065918827043,20.803745752800452	-163.1350049177115,20.803745752800452	
-184.53357097883995,10.084094284049163	-172.60922524939886,10.084094284049163	-172.60922524939886,22.00844001349025	-184.53357097883995,22.00844001349025	
-125.30385594349572,139.28024785375538	-113.37951021405463,139.28024785375538	-113.37951021405463,151.20459358319647	-125.30385594349572,151.20459358319647	
-88.84782507511828,151.6683598123071	-82.84782507511828,151.6683598123071	-82.84782507511828,157.66835981230713	-88.84782507511828,157.66835981230713	
-68.48508661450384,85.64649304253885	-56.560740885062756,85.64649304253885	-56.560740885062756,97.57083877197994	-68.48508661450384,97.57083877197994	
-75.96125851291798,153.71851222331725	-73.1328313881718,153.71851222331725	-73.1328313881718,156.54693934806343	-75.96125851291798,156.54693934806343	
-113.9495294365097,174.66614690903313	-111.9495294365097,174.66614690903313	-111.9495294365097,176.66614690903313	-113.9495294365097,176.66614690903313	
-106.65394338891355,10.56187844926848	-94.72959765947246,10.56187844926848	-94.72959765947246,22.48622417870957	-106.65394338891355,22.48622417870957	
-158.26835448422315,106.81397159835346	-146.34400875478207,106.81397159835346	-146.34400875478207,118.73831732779455	-158.26835448422315,118.73831732779455	
-67.27672993135354,68.27024229167107	-55.35238420191246,68.27024229167107	-55.35238420191246,80.19458802111215	-67.27672993135354,80.19458802111215	
-163.8903083942347,23.56521468397258	-162.4760948318616,23.56521468397258	-162.4760948318616,24.979428246345677	-163.8903083942347,24.979428246345677	
-147.614639837921,40.45305148495572	-135.69029410847992,40.45305148495572	-135.69029410847992,52.37739721439681	-147.614639837921,52.37739721439681	
-184.7324669461238,73.5693872358271	-172.8081212166827,73.5693872358271	-172.8081212166827,85.49373296526818	-184.7324669461238,85.49373296526818	
-40.48760250604494,8.291203405871123	-36.24496181892565,8.291203405871123	-36.24496181892565,12.533844092990407	-40.48760250604494,12.533844092990407	
-48.41636055124795,16.476129972670456	-45.587933426501756,16.476129972670456	-45.587933426501756,19.304557097416648	-48.41636055124795,19.304557097416648	
-90.02753057864514,176.49944685368996	-85.78488989152585,176.49944685368996	-85.78488989152585,180.74208754080925	-90.02753057864514,180.74208754080925	
-91.34514965273499,144.08884828593486	-89.34514965273499,144.08884828593486	-89.34514965273499,146.08884828593486	-91.34514965273499,146.08884828593486	
-105.19453564322536,74.53710040966273	-93.27018991378428,74.53710040966273	-93.27018991378428,86.46144613910381	-105.19453564322536,86.46144613910381	
-97.80587223551314,150.2009551131819	-94.80587223551314,150.2009551131819	-94.80587223551314,153.2009551131819	-97.80587223551314,153.2009551131819	
-146.4605337557332,27.447020289310636	-134.5361880262921,27.447020289310636	-134.5361880262921,39.37136601875172	-146.4605337557332,39.37136601875172	
-178.96043083296192,65.16397817291666	-174.71779014584263,65.16397817291666	-174.71779014584263,69.40661886003595	-178.96043083296192,69.40661886003595	
-145.20952703243424,131.82071783945938	-141.60397575697024,131.82071783945938	-141.60397575697024,135.42626911492334	-145.20952703243424,135.42626911492334	
-102.41211612625462,202.42581082578022	-99.58368900150843,202.42581082578022	-99.58368900150843,205.2542379505264	-102.41211612625462,205.2542379505264	
-65.31153977426104,18.793516192006866	-62.311539774261036,18.793516192006866	-62.311539774261036,21.793516192006866	-65.31153977426104,21.793516192006866	
-183.97371071651315,53.08342250857064	-172.04936498707207,53.08342250857064	-172.04936498707207,65.00776823801174	-183.97371071651315,65.00776823801174	
-182.88911270423208,27.144554358067676	-170.964766974791,27.144554358067676	-170.964766974791,39.068900087508766	-182.88911270423208,39.068900087508766	
-106.18692505339287,36.557411202362864	-94.26257932395178,36.557411202362864	-94.26257932395178,48.48175693180395	-106.18692505339287,48.48175693180395	
-147.16571765671648,121.28511208341982	-145.16571765671648,121.28511208341982	-145.16571765671648,123.28511208341982	-147.16571765671648,123.28511208341982	
-103.17936198718553,179.90019605505978	-91.25501625774444,179.90019605505978	-91.25501625774444,191.82454178450087	-103.17936198718553,191.82454178450087	
-133.962190689848,160.24295647274363	-128.962190689848,160.24295647274363	-128.962190689848,165.24295647274363	-133.962190689848,165.24295647274363
