18.04812325823147,114.50444170454433	13.670006916413161,115.54468076240722	12.62976785855027,111.16656442058891	17.007884200368576,110.12632536272602	
21.05186210110341,153.42372173474843	20.24259834036511,155.52314836255795	18.143171712555578,154.71388460181967	18.95243547329388,152.61445797401012	
55.401169389239385,33.72608546450809	57.55722032462614,34.369470546723946	56.91383524241028,36.5255214821107	54.75778430702353,35.88213639989484	
-11.989114771359674,48.27444169433727	-5.678805819306804,45.87809010710274	-3.282454232072281,52.188399059155614	-9.59276318412515,54.58475064639014	
-22.461764160188878,20.93045014472122	-24.323398261006975,23.282963369906405	-26.675911486192156,21.421329269088307	-24.814277385374062,19.068816043903123	
-9.127056822820315,110.68812196884373	-6.6887108739688745,113.85900024366283	-7.481430442673651,114.4685867308757	-9.91977639152509,111.2977084560566	
20.80398691695926,100.87577912233003	20.834281287502915,103.87562616028269	17.834434249550252,103.90592053082635	17.8041398790066,100.90607349287369	
8.6577547825733,75.03131218678634	10.66199580258921,72.79904474454614	12.894263244829405,74.80328576456206	10.890022224813492,77.03555320680225	
13.438804369101845,132.54366006618295	10.949923640233862,135.67502921041836	7.818554495998456,133.1861484815504	10.307435224866438,130.05477933731498	
67.98021339770912,33.22368651761765	66.69577996707154,35.934817418599856	63.98464906608934,34.65038398796228	65.26908249672692,31.939253086980074	
2.729470296846735,83.89291885629545	8.711871949654263,78.58152822252676	10.039719608096435,80.07712863572864	4.057317955288907,85.38851926949734	
24.810110636374617,152.68976877615665	27.674636424722273,155.4816305219978	26.278705551801696,156.91389341617165	23.41417976345404,154.12203167033047	
14.2350565740185,124.80449931187262	16.87389344475674,123.37742539310302	18.30096736352634,126.01626226384126	15.6621304927881,127.44333618261086	
9.98808775227647,80.87044122161073	15.475066067344315,83.29800563269754	13.047501656257511,88.78498394776538	7.560523341189665,86.35741953667858	
42.07417926452894,45.21622603803455	45.065791784173044,45.44040126482962	44.841616557377975,48.43201378447373	41.85000403773387,48.207838557678656	
9.067261262856618,49.660629746570166	-4.756159050327414,57.717493332671836	-5.763266998590119,55.98956579352384	8.06015331459391,47.93270220742216	
-20.487348162723116,36.9807849224527	-17.76152884852369,38.233745044059674	-19.014488970130664,40.9595643582591	-21.74030828433009,39.706604236652126	
19.90573869799796,173.91240769904476	20.75592487275844,170.003803924262	22.710226760149823,170.42889701164222	21.86004058538935,174.337500786425	
16.542404397440812,99.72904675416599	11.160154157214702,97.07737136837949	13.811829543001197,91.69512112815339	19.194079783227313,94.34679651393988	
-5.193303493018043,65.98215080536872	10.878111438038239,48.1577399563723	13.848846579537657,50.83630911154837	-2.2225683515186416,68.66071996054477	
9.758960535385576,103.62152996146854	9.471744624525652,107.61120501346825	8.474325861525724,107.53940103575327	8.761541772385648,103.54972598375356	
