40.94001578179919,-6.661648990847617	40.574325263605175,-7.85696085178726	41.76963712454482,-8.222651369981275	42.13532764273883,-7.0273395090416315	
-5.008529432887823,-2.1970356000731837	-5.948184557268717,-2.539158746359322	-5.606061410982578,-3.4788138707402165	-4.666406286601684,-3.136690724454078	
27.038987124711245,-7.0389158041274635	27.642095798105593,-6.241256774167603	26.844436768145734,-5.638148100773252	26.241328094751385,-6.435807130733113	
58.26185109963302,-11.061338976932458	58.61621676711138,-13.029694883193471	59.60039472024189,-12.852512049454292	59.246029052763525,-10.884156143193279	
45.87878460425587,-10.866696896652808	47.857591675330774,-10.576313399422066	47.56720817810003,-8.597506328347162	45.58840110702513,-8.887889825577902	
1.8413796713129393,-11.078840231436862	0.8448447793714832,-10.995664458863171	0.7616690067977923,-11.992199350804627	1.7582038987392488,-12.075375123378318	
2.0936630800319413,6.290087622390253	2.957683832553635,6.79354381632558	2.454227638618308,7.657564568847274	1.590206886096614,7.154108374911947	
33.99343402007871,-6.3725189768907695	32.115754874702745,-5.68380929420858	31.771400033361655,-6.622648866896561	33.649079178737615,-7.31135854957875	
18.682073180461597,-1.6860314081927292	17.992006786714438,-8.40066530530289	24.7066406838246,-9.09073169905005	25.396707077571758,-2.376097801939888	
31.226111758231657,-11.144844785518607	32.608385503973324,-9.36950839715912	30.833049115613832,-7.987234651417456	29.45077536987217,-9.762571039776944	
50.87470981083949,-11.122871960239612	51.09175102899093,-8.130733409031908	48.09961247778322,-7.913692190880474	47.88257125963179,-10.90583074208818	
38.58258043385723,-6.763047613181643	37.832365417403075,-8.34408443409591	39.41340223831734,-9.094299450550066	40.163617254771495,-7.513262629635799	
28.40525989938863,-6.418223676942424	30.779689677084644,-4.584625239227545	28.946091239369768,-2.210195461531529	26.57166146167375,-4.043793899246408	
27.623082225152327,-9.135711281252743	28.355056492385124,-8.454379003939382	27.673724215071765,-7.722404736706585	26.941749947838968,-8.403737014019946	
52.05627624354132,-9.797711769313953	52.46550550491253,-11.75539698702327	54.42319072262185,-11.346167725652062	54.01396146125064,-9.388482507942744	
5.45808127208138,6.854041822212036	-0.4527366130112842,5.823395457415315	-0.2809622188784964,4.838259143233204	5.6298556662141666,5.8689055080299255	
15.18664907941513,-4.235041562822813	18.012822413820757,-3.2286895946255143	17.006470445623457,-0.40251626021988685	14.18029711121783,-1.4088682284171856	
32.38443919050533,-3.9856522913574057	35.93198655999166,-8.82454758483614	36.73846910890478,-8.233289689921753	33.19092173941846,-3.394394396443018	
26.37326381548071,-5.558855760709061	26.125093027194044,-4.590139465893507	25.15637673237849,-4.838310254180169	25.404547520665155,-5.807026548995724	
-15.483380866659694,13.438067267058369	-15.706657556129661,12.463312159382943	-14.731902448454235,12.240035469912975	-14.508625758984268,13.214790577588401	
13.214362819453417,-6.664717841920175	13.19607860771056,-10.664676052652	14.196068160393516,-10.669247105587715	14.214352372136373,-6.66928889485589	
31.629083898077514,-4.603599870759906	29.317129703771176,-7.867779370026043	30.133174578587713,-8.445767918602629	32.44512877289405,-5.1815884193364905	
7.338263159615245,5.8012543343332865	5.512587033025734,4.984610788591866	6.329230578767154,3.1589346620023546	8.154906705356666,3.9755782077437756	
30.745563128461317,-4.437891130701896	31.688894326682515,-4.106038376513293	31.357041572493912,-3.162707178292097	30.413710374272714,-3.494559932480699	
44.52714888187843,-10.71177481404538	45.09350894567398,-7.765720456410834	42.14745458803944,-7.199360392615283	41.58109452424389,-10.145414750249829	
36.44825872696114,-7.591475850068591	37.21709375915841,-8.230923027923202	37.85654093701302,-7.462087995725934	37.087705904815756,-6.8226408178713225	
31.659976356344014,-8.594687338157737	33.048306869779985,-9.16261196824751	33.61623149986976,-7.774281454811536	32.22790098643379,-7.206356824721763	
15.430884959720142,1.4780505981541747	15.48421355353473,-0.02100112246181496	16.983265274150718,0.03232747135277192	16.929936680336134,1.531379191968762	
-0.5267248110025804,8.121166499896326	-0.7134312223916393,7.138750744756874	0.26898453274781275,6.952044333367815	0.4556909441368715,7.934460088507267	
-16.484929427530314,5.916515452720006	-17.00101434890814,5.059978031513878	-16.144476927702012,4.543893110136053	-15.628392006324187,5.40043053134218	
-2.3309999805352817,0.6932732097820384	-1.3886921313847136,0.3585256669542679	-1.0539445885569432,1.300833516104837	-1.9962524377075117,1.635581058932607	
25.00971058803628,-10.354031058188939	26.0093692433853,-10.380157152152425	26.035495337348788,-9.380498496803405	25.03583668199977,-9.35437240283992	
28.118789268577085,-10.365474677573028	28.782373043713342,-9.617372696974181	28.034271063114495,-8.953788921837926	27.37068728797824,-9.701890902436773	
-10.914738475593484,11.780361044486074	-11.286603683532444,12.708647782043233	-12.214890421089605,12.336782574104273	-11.843025213150643,11.408495836547115	
-17.367818454329736,12.350842748750999	-16.13535530531098,12.559492182756392	-16.34400473931637,13.79195533177515	-17.57646788833513,13.583305897769755	
60.314227890808084,-10.863924600806337	60.07588355899114,-9.892743886680107	59.10470284486491,-10.131088218497053	59.34304717668186,-11.102268932623282	
14.799262460826558,2.935057411966472	15.684382561742986,3.400420073719318	15.219019899990139,4.285540174635745	14.333899799073711,3.820177512882899	
17.35319221564276,-5.473220234957184	16.54377955982705,-6.060460520194294	17.131019845064163,-6.869873176010001	17.94043250087987,-6.282632890772892	
-1.0618097684965377,2.751876997666553	-1.3943954503855907,1.8088039547889647	-0.45132240750800234,1.4762182728999118	-0.11873672561894932,2.4192913157775	
-5.383674791561839,-4.3305125197883445	-5.994601123346011,-3.538825070643964	-6.786288572490392,-4.149751402428136	-6.175362240706219,-4.941438851572516	
-17.083155472639618,3.119141991266428	-16.217241542639826,3.6193350198387155	-16.717434571212113,4.485248949838507	-17.583348501211905,3.985055921266219	
21.082666825357702,1.9082022879031673	21.50655763108718,2.8139155895709815	20.600844329419367,3.2378063953004608	20.17695352368989,2.332093093632646	
-6.7396910163670345,10.558172040718084	-6.593946584098777,12.302092497752408	-8.337867041133102,12.447836930020664	-8.483611473401357,10.703916472986341	
27.12628649586527,-3.2927777823266347	27.508114420275874,-2.3685443506978654	26.583880988647103,-1.986716426287262	26.2020530642365,-2.910949857916031	
32.29796059245106,-10.095870025371077	33.213199925720254,-10.498780639325293	33.61611053967447,-9.5835413060561	32.700871206405274,-9.180630692101884	
12.302118268689188,4.628820340596128	9.30591617053128,4.477913127401578	9.356218574929462,3.4791790946822756	12.352420673087373,3.6300863078768253	
14.20119418048412,-10.719377002283242	13.338233202195438,-11.224647573315279	13.843503773227475,-12.08760855160396	14.706464751516156,-11.582337980571923	
2.2731042223162454,-6.197889558536896	2.094987428806602,-5.213880204988952	1.1109780752586575,-5.391996998498595	1.2890948687683013,-6.37600635204654	
40.83994802413129,-9.836362133905617	41.047223629677774,-8.858079545209826	40.06894104098198,-8.650803939663339	39.8616654354355,-9.62908652835913	
28.51798355160518,-8.695438010036389	29.192684635103333,-9.433529093796663	29.930775718863607,-8.75882801029851	29.256074635365454,-8.020736926538234	
19.382179635935547,-0.7484501259074836	19.435790427678047,-1.7470120333567625	20.434352335127322,-1.6934012416142648	20.380741543384826,-0.6948393341649851	
24.843738555135776,-7.8864511913576125	25.56164618842478,-8.582589561270794	26.25778455833796,-7.864681927981789	25.539876925048958,-7.168543558068608	
