-8.557599980256654,14.239241849612341	-7.557599980256662,14.239241849612341	-7.557599980256662,15.239241849612334	-8.557599980256654,15.239241849612334	
-11.998716167471088,-23.286308389883494	-10.998716167471088,-23.286308389883494	-10.998716167471088,-22.286308389883494	-11.998716167471088,-22.286308389883494	
32.37629309941954,-21.559351214623867	33.37629309941954,-21.559351214623867	33.37629309941954,-20.559351214623867	32.37629309941954,-20.559351214623867	
-20.626341915305225,9.687304352649711	-19.62634191530523,9.687304352649711	-19.62634191530523,10.68730435264971	-20.626341915305225,10.68730435264971	
-2.8764686244212854,-22.764928154265093	-1.876468624421293,-22.764928154265093	-1.876468624421293,-21.7649281542651	-2.8764686244212854,-21.7649281542651	
-25.553259255337345,0.667514547186002	-24.553259255337345,0.667514547186002	-24.553259255337345,1.667514547186002	-25.553259255337345,1.667514547186002	
-9.350856853023139,50.07827992749484	-8.35085685302314,50.07827992749484	-8.35085685302314,51.07827992749484	-9.350856853023139,51.07827992749484	
-29.958198074294994,-15.013784695223542	-28.958198074294998,-15.013784695223542	-28.958198074294998,-14.013784695223544	-29.958198074294994,-14.013784695223544	
-20.19289205746376,-30.04797693827912	-15.192892057463759,-30.04797693827912	-15.192892057463759,-25.04797693827912	-20.19289205746376,-25.04797693827912	
-14.732137893894532,-34.30247346734905	-9.732137893894532,-34.30247346734905	-9.732137893894532,-29.302473467349053	-14.732137893894532,-29.302473467349053	
-6.18718301273271,-21.219420646635243	-1.1871830127327216,-21.219420646635243	-1.1871830127327216,-16.219420646635253	-6.18718301273271,-16.219420646635253	
-36.90797835679831,8.692167102819866	-31.90797835679831,8.692167102819866	-31.90797835679831,13.692167102819866	-36.90797835679831,13.692167102819866	
-9.755642911865337,5.2536427622704736	-4.7556429118653485,5.2536427622704736	-4.7556429118653485,10.253642762270463	-9.755642911865337,10.253642762270463	
-30.7269131010743,20.551900091282754	-25.7269131010743,20.551900091282754	-25.7269131010743,25.551900091282754	-30.7269131010743,25.551900091282754	
-13.882711161675587,-19.81316822929967	-8.882711161675587,-19.81316822929967	-8.882711161675587,-14.81316822929967	-13.882711161675587,-14.81316822929967	
-9.168891567297386,-32.140705397614056	-4.168891567297398,-32.140705397614056	-4.168891567297398,-27.140705397614067	-9.168891567297386,-27.140705397614067	
-9.811276294993597,-0.14011196391808767	-4.811276294993597,-0.14011196391808767	-4.811276294993597,4.859888036081912	-9.811276294993597,4.859888036081912	
-13.515768608529953,-8.279207879687899	-8.515768608529964,-8.279207879687899	-8.515768608529964,-3.2792078796879105	-13.515768608529953,-3.2792078796879105	
-20.070891691593197,51.3442865173946	-15.070891691593197,51.3442865173946	-15.070891691593197,56.3442865173946	-20.070891691593197,56.3442865173946	
18.995889971508987,-24.34153248163509	23.995889971508987,-24.34153248163509	23.995889971508987,-19.34153248163509	18.995889971508987,-19.34153248163509	
26.67036780249262,-24.632977049268973	31.670367802492613,-24.632977049268973	31.670367802492613,-19.63297704926898	26.67036780249262,-19.63297704926898	
-8.278752008570166,-26.591563807529432	-3.278752008570166,-26.591563807529432	-3.278752008570166,-21.591563807529432	-8.278752008570166,-21.591563807529432	
-15.688123500482725,-13.889282830243932	-10.688123500482725,-13.889282830243932	-10.688123500482725,-8.889282830243932	-15.688123500482725,-8.889282830243932	
-35.09626341882656,13.893330511458295	-30.096263418826574,13.893330511458295	-30.096263418826574,18.89333051145828	-35.09626341882656,18.89333051145828	
39.833615745529144,-25.790668602566182	45.35147288838629,-25.790668602566182	45.35147288838629,-20.27281145970904	39.833615745529144,-20.27281145970904	
12.686518499828935,-26.086796120517562	18.204375642686077,-26.086796120517562	18.204375642686077,-20.56893897766042	12.686518499828935,-20.56893897766042	
-20.324868906437537,-7.0526451209819	-14.807011763580395,-7.0526451209819	-14.807011763580395,-1.5347879781247569	-20.324868906437537,-1.5347879781247569	
-42.530383615527356,12.410742627836555	-37.01252647267021,12.410742627836555	-37.01252647267021,17.928599770693697	-42.530383615527356,17.928599770693697	
62.248985923242,-25.788776692397015	67.76684306609914,-25.788776692397015	67.76684306609914,-20.270919549539872	62.248985923242,-20.270919549539872	
34.10882803571495,-24.64897182009773	39.626685178572096,-24.64897182009773	39.626685178572096,-19.13111467724059	34.10882803571495,-19.13111467724059	
-13.91531086788067,51.83292612560616	-8.397453725023528,51.83292612560616	-8.397453725023528,57.3507832684633	-13.91531086788067,57.3507832684633	
-22.206549061047433,-24.388185028072215	-16.68869191819029,-24.388185028072215	-16.68869191819029,-18.870327885215072	-22.206549061047433,-18.870327885215072	
-29.011330281262044,13.5221030557773	-23.4934731384049,13.5221030557773	-23.4934731384049,19.039960198634443	-29.011330281262044,19.039960198634443	
-25.836502625520396,1.9314472999060044	-20.318645482663253,1.9314472999060044	-20.318645482663253,7.449304442763148	-25.836502625520396,7.449304442763148	
3.2255025662121497,-25.744647000608836	8.743359709069292,-25.744647000608836	8.743359709069292,-20.226789857751694	3.2255025662121497,-20.226789857751694	
69.59967110487324,-25.97703330336705	75.11752824773038,-25.97703330336705	75.11752824773038,-20.45917616050991	69.59967110487324,-20.45917616050991	
-39.76330628066603,19.01116285972251	-34.24544913780888,19.01116285972251	-34.24544913780888,24.529020002579653	-39.76330628066603,24.529020002579653	
-14.783098115837547,-29.280665323970666	-9.265240972980404,-29.280665323970666	-9.265240972980404,-23.762808181113524	-14.783098115837547,-23.762808181113524	
55.97797386642122,-24.652547278531465	61.49583100927837,-24.652547278531465	61.49583100927837,-19.134690135674322	55.97797386642122,-19.134690135674322
