25.651150534788776,-27.71860259201445	22.70992096397103,-29.615750085423237	24.607068457379814,-32.55697965624098	27.548298028197564,-30.659832162832195	
29.816310573028375,-27.52473405690005	33.260690389580404,-28.146222334608517	33.88217866728887,-24.70184251805649	30.43779885073684,-24.080354240348026	
9.783934735560367,-9.910155830638619	10.735074633734731,-10.218916084072996	11.043834887169107,-9.267776185898631	10.092694988994742,-8.959015932464254	
18.569960836800334,-24.490831796999466	18.117584695817232,-25.382659037595555	19.009411936413322,-25.835035178578657	19.461788077396424,-24.943207937982567	
8.095899861051867,-7.07671227277967	7.228810808759448,-7.574865437373286	7.726963973353064,-8.441954489665704	8.594053025645483,-7.943801325072089	
5.05357136531447,-0.8049742591631741	4.341069820000768,-0.10330371829261287	3.639399279130206,-0.8158052636063153	4.351900824443909,-1.5174758044768766	
20.135091052307438,-27.77193368146255	21.56690642860932,-26.375543790284052	20.170516537430824,-24.943728413982168	18.73870116112894,-26.340118305160665	
15.13783721323278,-15.780082585913316	15.051186245198938,-14.783843854615041	14.054947513900661,-14.870494822648883	14.141598481934505,-15.866733553947158	
18.778945540425013,-23.34896746987829	18.970686557941978,-24.33041302730955	19.95213211537324,-24.138672009792586	19.760391097856274,-23.157226452361325	
13.157776667416877,-14.108507539986402	12.896582833293973,-12.125636444575463	10.913711737883034,-12.386830278698367	11.174905572005938,-14.369701374109306	
9.347060234233506,-5.629862923540422	8.347310533775726,-5.607490251939165	8.324937862174469,-6.607239952396945	9.32468756263225,-6.629612623998203	
-0.5293853515231834,-2.0572042255818204	-1.4990394904192814,-1.8127234473564833	-1.743520268644619,-2.7823775862525815	-0.7738661297485203,-3.026858364477919	
15.731779699131126,-21.911256749938765	16.199209841995273,-22.79528676161371	17.083239853670218,-22.327856618749564	16.61580971080607,-21.443826607074616	
7.045598413482313,-3.5049110945121313	6.287180254691429,-5.355533124105491	8.137802284284788,-6.113951282896375	8.896220443075674,-4.2633292533030165	
28.92915481836335,-30.21374655171691	29.56720273513486,-28.318253250250628	27.67170943366858,-27.680205333479122	27.03366151689707,-29.5756986349454	
11.144045640781163,-9.790486552802896	11.571199807987911,-10.694665361135579	12.475378616320594,-10.267511193928833	12.048224449113846,-9.363332385596149	
15.862189377544786,-19.397714894598813	14.884439050041836,-19.187942882481195	14.674667037924218,-20.165693209984145	15.652417365427167,-20.375465222101763	
6.860603044906172,-3.2112218329800797	6.9350848486616075,-1.2126091989488283	4.9364722146303555,-1.138127395193393	4.861990410874921,-3.1367400292246446	
13.37189673976434,-15.613099273610413	12.596988384609732,-17.45687719980206	14.440766310801381,-18.23178555495667	15.215674665955989,-16.38800762876502	
