0.8575181044985012,2.0982997939472536	0.4275528690007839,2.4555530602211846	0.07029960272685276,2.0255878247234675	0.50026483822457,1.6683345584495364	
-3.246290396978776,-2.922348652262359	-3.803379355093698,-2.875960154265221	-3.8497678530908366,-3.433049112380143	-3.2926788949759143,-3.479437610377281	
-1.0245764159240398,-0.791495294844399	-1.6263456656436952,0.007174705901743406	-2.4250156663898377,-0.594594543817912	-1.823246416670182,-1.3932645445640544	
-3.617379835560256,5.910099931149829	-4.098469150539466,5.391878867304644	-3.580248086694281,4.910789552325435	-3.0991587717150715,5.42901061617062	
-4.784310809735819,-2.251967370358883	-3.880656877738478,-1.8237039336919827	-4.308920314405379,-0.9200500016946411	-5.21257424640272,-1.3483134383615418	
-1.5414890193968747,1.9148295867053777	-2.3454627765553635,1.32016480903609	-1.7507979988860751,0.5161910518776012	-0.9468242417275874,1.1108558295468887	
-3.4290299701519213,-0.40571102542696824	-2.5763011471184494,0.11664283391356545	-3.098655006458983,0.9693716569470374	-3.951383829492455,0.44701779760650384	
-3.157835134438832,1.4481496338699458	-3.046371667122398,0.9003577979926682	-2.4985798312451206,1.0118212653091023	-2.6100432985615543,1.5596131011863799	
-6.988850691798226,5.255649760582698	-6.098904032734508,4.799585133560029	-5.64283940571184,5.689531792623747	-6.532786064775557,6.145596419646416	
-1.183469744821279,-0.38777100083204363	-0.29076963100473496,0.06288020219744939	-0.7414208340342279,0.9555803160139935	-1.6341209478507719,0.5049291129845004	
1.6140219139595189,-0.0904594728260486	1.0318681285117475,-0.4918283431795299	1.4332369988652287,-1.0739821286273012	2.0153907843130003,-0.67261325827382	
-2.38993593900425,5.969374461818366	-1.413569040758569,6.185494058361828	-1.6296886373020303,7.161860956607508	-2.606055535547711,6.945741360064047	
-2.905403537350706,4.007641917736369	-2.346627074669067,3.574318868784441	-1.9133040257171392,4.13309533146608	-2.4720804883987784,4.566418380418009	
-0.2105407737134808,-2.7197690441853055	0.33910007085960436,-2.821724632443064	0.44105565911736255,-2.2720837878699784	-0.10858518545572264,-2.17012819961222	
-3.9748423257230456,3.147802779793394	-4.40306580466512,2.5851086780980355	-3.840371702969761,2.156885199155961	-3.4121482240276872,2.7195793008513194	
-0.48450456408163944,-1.4136339331347116	-0.4855212249192555,-2.1207399834558367	0.2215848254018694,-2.121756644293453	0.2226014862394856,-1.4146505939723277	
-0.35419961338620176,5.782151904265322	-0.996095543344302,5.48555518293613	-0.6994988220151104,4.84365925297803	-0.057602892057009525,5.140255974307221	
-5.329119806233201,6.433982931374602	-5.841748971407433,6.65694332923209	-6.064709369264921,6.144314164057858	-5.552080204090689,5.92135376620037	
-2.991304184118585,3.76870350452723	-3.642139776131715,3.492274431944554	-3.365710703549039,2.841438839931424	-2.7148751115359087,3.1178679125141	
0.1516745870880989,6.408793892552612	0.06849116614001115,5.796568004855906	0.6807170538367174,5.713384583907818	0.7639004747848052,6.325610471604524	
-7.312125624571745,6.681665998914895	-7.751164714172409,6.127369437674777	-7.19686815293229,5.688330348074113	-6.757829063331627,6.2426269093142315	
-0.33523644110452366,2.0228898295026934	-0.83798998727349,1.6637535170791569	-0.47885367484995356,1.1609999709101908	0.023899871319012722,1.520136283333727	
-4.291994016048925,7.171417785626999	-3.9664228905923316,7.799114720675218	-4.59411982564055,8.124685846131811	-4.919690951097143,7.496988911083592	
-2.534773757273612,6.507090395709889	-3.2228498944088186,6.344144915548294	-3.0599044142472236,5.656068778413087	-2.371828277112018,5.819014258574682	
0.9804412352010274,6.597193429484606	0.9641447467644984,5.890274463502904	1.6710637127461998,5.873977975066375	1.6873602011827291,6.580896941048077	
-5.370895044336092,6.563179112014978	-4.687228331264464,6.743733329461806	-4.867782548711293,7.427400042533434	-5.5514492617829205,7.246845825086606	
-2.0648751281635,0.7309852159062187	-2.560424338073987,0.47227499083366314	-2.3017141130014314,-0.023274219076823477	-1.8061649030909446,0.235436005995732	
0.5154092262922667,2.7790175278059275	0.7996902385997144,2.2304518297094282	1.3482559366962137,2.514732842016876	1.063974924388766,3.0632985401133754	
-0.6600399253518319,7.107591548397223	-0.9606683768210686,7.747609152973229	-1.6006859813970749,7.446980701503993	-1.3000575299278379,6.806963096927986	
-2.795301131276121,-1.1007678805174157	-2.5561007208379447,-0.5955123376025377	-3.0613562637528227,-0.3563119271643618	-3.300556674190999,-0.8615674700792397	
-3.691191075795552,-2.015599383480397	-4.234267522379661,-2.1481436144585024	-4.101723291401556,-2.6912200610426114	-3.558646844817447,-2.558675830064506	
-4.950853235841105,3.733518347386542	-4.811760355098203,3.0402267993876926	-4.1184688070993545,3.179319680130595	-4.257561687842256,3.872611228129444	
1.4504178629167814,-1.1660709816392592	1.002322725165994,-0.6190693842703826	0.45532112779711764,-1.06716452202117	0.9034162655479049,-1.6141661193900465	
-3.2022563908164896,-3.3160426822912994	-2.918556651126795,-3.797721473292107	-2.4368778601259873,-3.514021733602412	-2.7205775998156825,-3.0323429426016046	
-3.267527891719121,4.631568235647303	-2.7542469676473935,4.4101123868103995	-2.5327911188104903,4.923393310882127	-3.046072042882218,5.144849159719031	
-4.236338156758778,-0.8393498862733981	-3.979714801045727,-1.3359830036775566	-3.483081683641569,-1.0793596479645062	-3.73970503935462,-0.5827265305603471	
-1.991138281167225,4.725677984689464	-1.663496207979729,4.099059542671197	-1.0368777659614625,4.426701615858693	-1.3645198391489584,5.05332005787696	
-5.065420717348507,4.855170567994466	-5.6220233637989505,4.907069450105384	-5.673922245909869,4.350466803654941	-5.117319599459425,4.298567921544023	
-0.8915841113011034,-0.9649005840354539	-1.3772329450749448,-1.3468498337280728	-0.9952836953823263,-1.8324986675019141	-0.5096348616084843,-1.4505494178092952	
-4.275350226516387,6.670541419026693	-4.6388550784871265,6.064023305040202	-4.032336964500634,5.700518453069463	-3.6688321125298957,6.307036567055954	
-3.462245145148091,1.6634773513048913	-2.9869973545265807,2.0582932028053342	-3.381813206027024,2.5335409934268447	-3.857060996648534,2.1387251419264017	
1.90809459492076,-0.11240044229290458	2.154744581123486,-0.6140614675940483	2.65640560642463,-0.36741148139132196	2.4097556202219037,0.13424954390982202	
-4.988866699813876,-2.2947067682051934	-5.189070417734715,-1.7727695389039364	-5.711007647035972,-1.9729732568247753	-5.510803929115133,-2.4949104861260327	
-4.634850710114266,5.055674764702956	-4.252225242987759,4.570558519878204	-3.767108998163007,4.953183987004711	-4.149734465289514,5.438300231829463	
-2.6595595078407133,-4.381233478013214	-2.1514130939108225,-4.148237293473226	-2.3844092784508106,-3.6400908795433353	-2.892555692380701,-3.873087064083323	
-2.771232575278459,-1.2698441900113329	-2.3888055369550227,-1.6775813116462963	-1.9810684153200593,-1.2951542733228603	-2.3634954536434956,-0.8874171516878967	
-1.4139026723507317,5.487824645458647	-0.9010418722534914,5.710251711535639	-1.123468938330483,6.223112511632879	-1.6363297384277233,6.000685445555888
