28.67829731456042,-31.73709556912935	29.778546630077372,-34.52805444444523	32.56950550539325,-33.427805128928284	31.4692561898763,-30.6368462536124	
26.90333163479843,-6.018969213341563	29.763900591695393,-5.115008349787487	28.859939728141317,-2.2544393928905264	25.999370771244354,-3.158400256444602	
32.742706783947966,-35.45211389155246	33.40252696446569,-40.40838641527243	34.393781469209685,-40.276422379168885	33.73396128869196,-35.32014985544891	
31.20538126724386,-28.23997596507813	32.988375345958474,-24.108277511019722	28.85667689190006,-22.325283432305113	27.073682813185453,-26.456981886363522	
-24.662732592603174,2.1878315963767676	-17.90984088372921,4.031321104950456	-18.173196527811164,4.996019920503881	-24.92608823668513,3.1525304119301913	
23.796432404829428,-1.5188988563827053	29.857381544508257,1.9832284294574927	29.35707764653109,2.8490783065544685	23.296128506852256,-0.6530489792857292	
28.617922523453604,12.291874118708208	24.785572946877302,13.437778444084211	23.639668621501297,9.605428867507909	27.4720181980776,8.459524542131906	
24.555597463335967,-39.727862447717435	25.725838339315178,-36.96551991063276	22.9634958022305,-35.79527903465355	21.79325492625129,-38.557621571738224	
34.882739133594654,-41.7546831292614	29.275072083797426,-39.62065635843156	28.919400955325784,-40.55526753339777	34.52706800512301,-42.68929430422761	
16.44720466454117,12.928733493333425	14.652202513102266,12.046708960607889	15.534227045827802,10.251706809168983	17.329229197266706,11.133731341894519	
26.718403725427184,-9.320908437305746	26.432399679030183,-13.310670546184488	30.42216178790892,-13.596674592581493	30.708165834305923,-9.606912483702748	
29.761880955740427,-41.98130035391781	28.86172272273218,-43.76727772094895	30.64770008976332,-44.667435953957195	31.547858322771564,-42.88145858692606	
4.211946829656231,-5.215075155887831	3.9092018694109862,-6.6842060176718	5.378332731194954,-6.9869509779170444	5.6810776914401995,-5.517820116133076	
-20.13085713844925,5.768959080314673	-12.426225314910695,3.6152068977929765	-12.157006292095485,4.578285875735298	-19.86163811563404,6.732038058256992	
29.596897211997177,-20.133510886777934	31.163299788934943,-17.574920851824555	28.604709753981563,-16.008518274886793	27.038307177043798,-18.56710830984017	
25.06950644665412,7.979451080420944	22.81198551582745,6.003698250009338	24.787738346239056,3.7461773191826655	27.045259277065725,5.72193014959427	
-30.376320062445554,2.5082366131580187	-28.475257131749768,1.88698003690764	-27.85400055549939,3.7880429676034284	-29.755063486195176,4.409299543853806	
14.728206935300005,-39.541815706847146	15.711294032252196,-40.98958632397063	17.15906464937568,-40.00649922701844	16.17597755242349,-38.558728609894956	
7.846586805032647,-37.72820434471725	8.299296438723653,-41.70250352665654	12.273595620662949,-41.249793892965535	11.820885986971943,-37.27549471102624	
31.88156212310111,-34.27462190889467	29.43021466863197,-38.63247638758802	30.301785564370643,-39.12274587848185	32.753133018839776,-34.7648913997885	
23.463957164193975,-62.1875640431522	21.590081404060285,-61.48857217225284	20.891089533160926,-63.36244793238653	22.764965293294612,-64.0614398032859	
20.579716658761978,-36.22414744373786	17.57971943946367,-36.22823207376015	17.583804069485954,-39.228229293058455	20.58380128878426,-39.22414466303617	
29.608263762059384,-37.261061119699605	27.1288353760571,-35.57214582321902	25.439920079576513,-38.0515742092213	27.919348465578793,-39.74048950570189	
3.4966774168491064,-40.008026054093136	5.559200889339745,-42.18655696400127	7.737731799247878,-40.12403349151063	5.6752083267572395,-37.9455025816025	
27.924662604126322,-7.03807364582444	27.528120921064417,-8.998368188385438	29.488415463625415,-9.394909871447343	29.88495714668732,-7.434615328886344	
5.460499034997309,-12.792163480401463	5.54951112107602,-15.79084266439763	8.548190305072186,-15.701830578318917	8.459178218993475,-12.70315139432275	
1.1532671279808149,10.29883605348492	1.1563192432821576,8.798839158624071	2.6563161381430045,8.801891273925412	2.6532640228416633,10.301888168786261	
5.893945752134545,-18.550069781005313	7.575413359863247,-19.63296713724879	8.658310716106726,-17.951499529520092	6.976843108378025,-16.86860217327661	
6.921209181203142,-9.263196546183963	4.957661875997083,-9.643304399586155	5.337769729399276,-11.606851704792215	7.301317034605333,-11.226743851390022	
11.856246299023315,9.979424112827601	13.773469612573548,10.548857836784538	13.20403588861661,12.466081150334771	11.286812575066378,11.896647426377834	
30.151325330193526,-22.2145679191525	32.03591687940788,-22.884130980133193	32.70547994038858,-20.999539430918837	30.82088839117422,-20.329976369938144	
20.570935979659662,10.447996178911652	21.26202673596053,12.589232636324867	19.120790278547315,13.280323392625734	18.429699522246448,11.139086935212518	
-2.4447424023978073,8.479981014544748	-1.3697088385638527,7.099110696002682	0.011161479978213151,8.174144259836636	-1.0638720838557414,9.555014578378703	
6.000652335088926,11.423286360588037	3.116813561120158,10.596561541948658	3.9435383797595374,7.712722767979891	6.827377153728305,8.539447586619268	
22.28495612252956,-69.95087911732914	22.23790681879724,-73.95060240313508	24.23776846170021,-73.97412705500125	24.284817765432532,-69.9744037691953	
25.56283623419758,1.001559783654585	26.032093827696404,3.202081837837113	23.831571773513875,3.671339431335937	23.36231418001505,1.4708173771534094	
