-13.778927988670631,6.1788197782461936	-11.849002259170517,7.335490292529951	-13.005672773454275,9.265416022030065	-14.935598502954388,8.108745507746308	
-30.105746550589977,-13.006547495136072	-29.303035580723915,-14.838392220776509	-27.471190855083478,-14.035681250910448	-28.27390182494954,-12.203836525270011	
-32.73511435970769,17.689628562530302	-32.056563407397704,15.544385311726513	-29.911320156593913,16.2229362640365	-30.589871108903896,18.36817951484029	
-27.161956404416905,-22.763840803470615	-33.07570055493188,-23.77756173264686	-32.06197962575563,-29.69130588316183	-26.14823547524066,-28.677584953985587	
-22.849988046753143,6.635534109727452	-16.884311888696942,7.276399132333448	-16.99112272579794,8.270678492009482	-22.95679888385414,7.629813469403485	
-24.538154712407948,-7.8853296415448	-24.496610532913802,-4.885617308478484	-27.496322865980115,-4.844073128984338	-27.537867045474265,-7.843785462050653	
-26.174868990467658,-32.353167872860666	-29.064893456693653,-33.158002380455336	-28.260058949098987,-36.04802684668133	-25.370034482872992,-35.24319233908666	
-28.490185678682824,3.9219995348835113	-27.00707209179879,2.9930893732424764	-26.078161930157755,4.4762029601265105	-27.56127551704179,5.405113121767545	
-0.9806165850783017,31.455796436562977	-1.8401105713182262,33.261695129075214	-3.6460092638304626,32.40220114283529	-2.786515277590538,30.59630245032305	
-0.3248827685747031,37.49217737366875	-1.8449408659857869,39.15106958852028	-3.5038330808373113,37.63101149110919	-1.9837749834262277,35.97211927625767	
-22.554055774944878,4.445287671206486	-24.64206595903255,5.283567738454993	-25.480346026281058,3.19555755436732	-23.392335842193386,2.357277487118813	
-24.96558284325456,-25.778634245784893	-22.460759688407606,-24.127616086301913	-24.111777847890586,-21.622792931454963	-26.61660100273754,-23.27381109093794	
-16.76938869879462,14.114237647705224	-15.283886854525637,13.906188925831122	-15.075838132651535,15.391690770100105	-16.561339976920518,15.599739491974209	
-27.251250590568404,-4.583160023889924	-28.013745025260175,-3.2914161494844465	-29.305488899665654,-4.053910584176219	-28.54299446497388,-5.345654458581697	
-26.032421733819206,5.610487932098977	-23.462856036929892,7.158819979616479	-25.011188084447397,9.728385676505791	-27.580753781336707,8.18005362898829	
-24.95561511129313,-12.230258366240154	-27.376828854493688,-14.00162055668477	-25.60546666404907,-16.422834299885327	-23.184252920848515,-14.65147210944071	
-27.61055112866096,-19.85259388457173	-28.801465019777552,-17.099100811410743	-31.554958092938538,-18.290014702527333	-30.364044201821947,-21.04350777568832	
