5.824032737175936,9.828241834004348	5.9843185914227375,8.841171195737576	6.97138922968951,9.001457049984378	6.811103375442708,9.98852768825115	
7.79056518947574,10.586162715415398	8.040683577429316,9.924769646198987	8.702076646645727,10.174888034152564	8.451958258692152,10.836281103368975	
9.61145193749321,13.328867513286504	10.308113953878696,12.611468018635366	11.025513448529836,13.30813003502085	10.328851432144349,14.025529529671989	
9.487085347842722,13.245088660194494	10.178783788397697,13.967275109343062	9.456597339249129,14.658973549898036	8.764898898694154,13.936787100749468	
3.6299807453088233,8.426236101904038	6.323711023709064,7.1056993976698255	6.76388992512047,8.003609490469906	4.070159646720228,9.324146194704118	
5.080291521980805,9.285760586485168	5.81390899685522,9.965323240372863	5.134346342967525,10.698940715247279	4.40072886809311,10.019378061359584	
10.999330798439068,14.12443334451607	11.113838348851552,14.822206961743415	10.416064731624209,14.936714512155898	10.301557181211724,14.238940894928554	
9.651146687861779,11.222176832916901	9.283961669337124,12.152324757803608	8.353813744450417,11.785139739278954	8.720998762975071,10.854991814392246	
10.605317770071213,15.945114716991814	11.29421736937018,16.66997149048967	10.569360595872325,17.358871089788636	9.880460996573358,16.63401431629078	
7.638432410689233,12.787667095272845	5.042734601460898,11.283555103708643	5.544105265315631,10.418322500632533	8.139803074543966,11.922434492196732	
4.158216422179021,-0.9712900872586285	4.974560631165081,-0.39372439190014896	4.396994935806601,0.422619817085911	3.5806507268205414,-0.15494587827256856	
0.040599648370093,5.259979433582335	0.6680938672905253,4.934017771386554	0.9940555294863066,5.561511990306986	0.36656131056587415,5.887473652502767	
9.155159521874612,15.88221618711178	8.195917809922413,15.599629318961448	8.478504678072744,14.640387607009249	9.437746390024945,14.922974475159581	
10.980175852497634,15.509959192871474	11.612151349535434,14.734970824478873	12.387139717928035,15.366946321516673	11.755164220890235,16.141934689909274	
0.899662999161726,-2.6546910105329413	0.8259541390245546,-1.6574112083022539	-0.17132566320613263,-1.7311200684394252	-0.09761680306896137,-2.7283998706701125	
7.733920431201157,10.434316764612113	6.777799684449204,10.141343868885413	7.0707725801759045,9.18522312213346	8.026893326927857,9.47819601786016	
7.250725311593398,13.300367058326188	8.019297664356944,12.660604181497979	8.659060541185154,13.429176534261524	7.8904881884216085,14.068939411089733	
9.629637365207671,12.643966722975627	9.07876140923239,13.478553855112422	8.244174277095595,12.92767789913714	8.795050233070876,12.093090767000346	
1.171726017374283,0.03039251856367553	0.8680098056250317,-0.9223700241093055	1.8207723482980127,-1.226086235858557	2.124488560047264,-0.27332369318557576	
2.7680153887513947,3.3562504382273355	2.613357316698692,4.344218494770127	1.6253892601559001,4.189560422717425	1.780047332208603,3.2015923661746326	
2.428036547367377,0.41626285276813757	3.4133062640638108,0.5872704121359293	3.242298704696019,1.5725401288323633	2.2570289879995853,1.4015325694645715	
13.20036556108457,16.21535948538007	12.46853984299456,16.896851318304016	11.787048010070613,16.165025600214	12.518873728160626,15.483533767290059	
-1.871360916741453,-0.784781345642787	-1.3503340009532159,-1.6383215925112034	-0.49679375408479975,-1.1172946767229672	-1.0178206698730365,-0.2637544298545499	
3.891620387652047,9.258513805706396	4.173113204189876,9.482585649000615	3.9490413608956567,9.764078465538445	3.6675485443578273,9.540006622244226	
6.282479737204814,13.158426824566845	6.548250557335066,12.503166669233643	7.203510712668269,12.768937489363893	6.937739892538017,13.424197644697097	
10.278509067718627,16.09807493654008	9.40634161175324,15.608867486929116	9.895549061364202,14.736700030963728	10.76771651732959,15.225907480574692	
7.146384256159126,8.909202045558224	6.9276340658161155,8.78817166001436	7.04866445135998,8.569421469671349	7.267414641702991,8.690451855215214	
1.9716321074783565,10.05580332430278	1.4538273709820362,9.845141854494047	1.6644888407907692,9.327337117997725	2.1822935772870897,9.53799858780646	
7.4126658362701,13.562150520844888	7.673516923894498,14.056576157402267	7.179091287337119,14.317427245026664	6.918240199712722,13.823001608469285	
1.1456381962786741,6.801446443150895	1.7736139883357112,6.023213570168561	2.5518468613180447,6.651189362225598	1.9238710692610077,7.429422235207932	
12.000269291470062,17.243597925823344	11.29733087485854,17.16693253303308	11.373996267648804,16.463994116421556	12.076934684260326,16.54065950921182	
1.1599426288381824,8.486924589357884	1.6186631710848818,8.806417099631433	1.2991706608113323,9.265137641878132	0.8404501185646329,8.945645131604582	
0.267299303975844,8.356650994038624	0.4470345159368333,7.827316266686132	0.9763692432893261,8.00705147864712	0.7966340313283368,8.536386205999614	
11.292052649987223,13.29672219056334	11.74255351467929,13.841744181781769	11.197531523460862,14.292245046473834	10.747030658768795,13.747223055255407	
0.3639053163980175,2.4310492567710282	1.033876933057391,2.2049120575515593	1.2600141322768599,2.874883674210933	0.5900425156174864,3.101020873430402	
9.46790109245416,16.45863857432536	9.638230829512267,16.275641905848264	9.821227497989362,16.445971642906372	9.650897760931255,16.628968311383467	
2.4300040515349686,8.79207463393266	2.733331758361739,8.98556545798094	2.5398409343134594,9.28889316480771	2.2365132274866895,9.095402340759431	
7.641760446519055,10.465220654552585	7.764668576676501,11.070723429631153	7.159165801597932,11.1936315597886	7.036257671440487,10.58812878471003	
6.071404470762132,12.146380935122501	5.829090267832774,12.20789375540177	5.767577447553504,11.965579552472411	6.009891650482863,11.904066732193142	
8.132741829237322,14.669790932068352	8.026013979730566,13.97078509079114	8.725019821007779,13.864057241284385	8.831747670514535,14.563063082561596	
10.850249564072087,18.06027128276511	10.293610615526024,18.008763215809214	10.345118682481921,17.45212426726315	10.901757631027984,17.50363233421905	
1.2746241033126129,2.1672125928772017	1.0370766423246969,2.089294663116494	1.1149945720854046,1.8517472021285781	1.3525420330733207,1.929665131889286	
1.7776844866592443,1.256284395639839	2.273118089793606,1.6254531429248045	1.9039493425086405,2.120886746059166	1.4085157393742789,1.7517179987742006	
2.4454191919324995,4.577687804709334	2.9399020817918657,4.316945265724361	3.2006446207768384,4.8114281555837275	2.706161730917472,5.0721706945687	
6.037725646953253,10.702231520502288	5.6922464266721775,10.262749884533298	6.131728062641167,9.917270664252221	6.477207282922243,10.356752300221212	
-0.3299659241258537,8.787279474085128	-0.637415477045332,8.150510463839174	-6.464667993762441E-4,7.843060910919696	0.3068030861201012,8.47982992116565	
7.963325750982164,10.668898112524648	8.630275117214591,10.903799246796416	8.395373982942823,11.570748613028844	7.728424616710396,11.335847478757076	
-2.339384914536409,0.023663383206809385	-2.3813236778346365,-0.5337782192351104	-1.8238820753927167,-0.5757169825333377	-1.7819433120944894,-0.018275380091417985	
4.7703249592780415,-1.0568129328671763	5.311579496910197,-1.196611092699848	5.451377656742868,-0.6553565550676921	4.910123119110713,-0.5155583952350208	
4.655624617399538,7.298282033401745	4.849648314370355,7.822548001221302	4.325382346550797,8.016571698192118	4.1313586495799814,7.4923057303725615	
0.973720356731886,-4.719007647752319	0.9972746078801464,-4.9678955688189	1.2461625289467275,-4.94434131767064	1.222608277798467,-4.695453396604059	
3.2546884038717696,1.9309821281815243	3.498361409374327,1.8750941474580216	3.5542493900978296,2.1187671529605794	3.3105763845952723,2.1746551336840816	
4.629321425068894,1.037300455208121	4.864228238711103,0.7647840600607212	5.136744633858503,0.9996908737029303	4.9018378202162936,1.2722072688503303	
0.77259686872668,-0.04811896998805043	1.1314485964947707,-0.0740387345997394	1.1573683611064596,0.28481299316835157	0.7985166333383689,0.3107327577800404	
0.013835447831629821,-2.8498548977823	-0.4876267940556711,-2.602801017097616	-0.7346806747403551,-3.104263258984917	-0.23321843285305405,-3.351317139669601	
1.1542511803838913,4.3043219452545545	1.770322156333115,4.2574543479231615	1.8171897536645085,4.873525323872385	1.2011187777152847,4.920392921203779	
1.629884004773146,0.46430790465636207	1.7318654286672575,-0.08532814690915302	2.281501480232772,0.01665327698495772	2.179520056338661,0.5662893285504733	
12.553988799603566,15.21028729849278	12.803102351681972,15.231321512784719	12.782068137390032,15.480435064863125	12.532954585311627,15.459400850571186	
1.2208261997810137,5.367222644691181	1.5805634754718119,5.373179925801885	1.574606194361108,5.7329172014926835	1.2148689186703099,5.726959920381979	
11.612384907260445,14.674445597629987	11.36793418683706,14.171709239998586	11.870670544468458,13.9272585195752	12.115121264891846,14.429994877206601	
3.4953499510980732,9.147417727339555	3.5907210498663145,8.916323907604498	3.8218148696013703,9.01169500637274	3.7264437708331286,9.242788826107796	
2.1604171365352496,-0.8134645154634761	1.9443734319349708,-1.32904682480175	2.4599557412732453,-1.5450905294020285	2.6759994458735235,-1.0295082200637549	
9.74744288165887,17.616506317817084	9.768946475015694,17.257362903298016	10.12808988953476,17.278866496654842	10.106586296177936,17.638009911173906	
7.28291656503255,7.978627997287629	7.145170517193718,8.311001917781478	6.812796596699869,8.173255869942647	6.9505426445387,7.840881949448797	
0.4285305555087171,7.680147824935914	0.6451816814568144,7.392904572021088	0.9324249343716409,7.609555697969185	0.7157738084235437,7.896798950884011	
6.344963160077556,10.855133725168194	6.152303612853365,10.695815493746396	6.311621844275163,10.503155946522204	6.5042813914993545,10.662474177944004	
2.1348942379800535,4.463662688599011	2.0226885384635596,4.68706788324769	1.7992833438148803,4.574862183731196	1.9114890433313743,4.351456989082517	
2.7900273655596797,7.247190098304828	2.5590186439933533,7.756243111811567	2.049965630486615,7.52523439024524	2.280974352052941,7.016181376738502	
1.3480344686493426,6.152074944823954	1.2736222970801352,5.9134060764679095	1.5122911654361797,5.838993904898702	1.586703337005387,6.077662773254747	
1.732940377151726,3.2329426547667977	1.3681476711136056,2.8093552592728033	1.7917350666076,2.444562553234683	2.1565277726457204,2.8681499487286772	
1.7834535833339693,10.273908670610087	2.326608797735606,9.82115883563683	2.779358632708864,10.364314050038466	2.2362034183072272,10.817063885011724
